TEXT
@maygin__ My eevee know earthquake it’s gg
"The team of Cedric Alexander, Earthquake, Daren Young and Bobby Roode defeats The team of Alexander Wolfe, Lita, Br… https://t.co/wE3HUF28av"
"@ProudResister GREAT SONG and AWESOME BAND.
 Broke my watch banging on the side of my seat watching them in LA. The… https://t.co/Wz37q1Jo3B"
ADVISORY: Phivolcs put Kanlaon volcano in Cebu City on alert level 2 status as it recorded one volcanic earthquake… https://t.co/a3cExpVlK4
Thank you Earthquake Drill 😂
Crazy What happens to this swimming pool during an earthquake. https://t.co/KzQlBHMJ1D
