TEXT
"RT @QuakesToday: 2.4 magnitude #earthquake. 122km S of King Salmon, Alaska https://t.co/08SPw2fnbn"
RT @tenkijp_jishin: 20日14時16分頃、沖縄県で最大震度2を観測する地震がありました。震源地は西表島付近、M4.5。この地震による津波の心配はありません。 https://t.co/FMuK2DD8HG #jishin #地震
"[震源地] 西表島付近 [最大震度] 震度2 (2018年12月20日 14時16分頃発生) - goo天気

https://t.co/hJnWPCq36e

#地震速報 https://t.co/Ur1G2LEcW2"
"RT @DevelopmentPk: #Pakistan Army Rebuilt This Earthquake Damaged Area Into A Model Village

Pakistan Army has rebuilt a village of Awaran…"
"RT @AlertasCL: EMSC: ML 4.2 TARAPACA, CHILE: Magnitude   ML 4.2 Region   TARAPACA, CHILE Date time   2018-12-20 05:05:41.0 UTC Location   1…"
RT @elonmusk: Are tunnels safe in an earthquake? https://t.co/vxcZ2Hi2qx
